sku,date,quantity,revenue,discount,payment_method,store_city
SKU-RCE-01,2025-01-05,35,27965,6,UPI,Hyderabad
SKU-OIL-01,2025-01-05,80,13040,8,Card,Hyderabad
SKU-MLK-01,2025-01-06,240,14880,5,Cash,Hyderabad
SKU-YGT-01,2025-01-06,180,9900,7,UPI,Hyderabad
SKU-APL-01,2025-01-07,120,14400,6,UPI,Hyderabad
SKU-BAN-01,2025-01-07,140,9520,5,Cash,Hyderabad
SKU-CRM-01,2025-01-08,75,13500,9,Card,Hyderabad
SKU-BRD-01,2025-01-08,210,9450,4,UPI,Hyderabad
SKU-TMT-01,2025-01-09,160,8000,6,Cash,Hyderabad
SKU-CHS-01,2025-01-09,95,15675,7,Card,Hyderabad
SKU-EGG-01,2025-01-10,130,11700,5,UPI,Hyderabad
SKU-TEA-01,2025-01-10,60,12600,8,UPI,Hyderabad
SKU-CFE-01,2025-01-11,45,14400,10,Card,Hyderabad
SKU-CKI-01,2025-01-11,110,10450,6,Cash,Hyderabad
SKU-NDL-01,2025-01-12,150,18000,7,UPI,Hyderabad
SKU-RCE-01,2025-02-05,38,30362,7,UPI,Mumbai
SKU-OIL-01,2025-02-05,75,12180,6,Card,Mumbai
SKU-MLK-01,2025-02-06,260,16120,4,Cash,Mumbai
SKU-YGT-01,2025-02-06,200,11000,6,UPI,Mumbai
SKU-APL-01,2025-02-07,135,16200,5,UPI,Mumbai
SKU-BAN-01,2025-02-07,150,10200,5,Cash,Mumbai
SKU-CRM-01,2025-02-08,85,15300,8,Card,Mumbai
SKU-BRD-01,2025-02-08,230,10350,4,UPI,Mumbai
SKU-TMT-01,2025-02-09,175,8750,6,Cash,Mumbai
SKU-CHS-01,2025-02-09,105,17325,7,Card,Mumbai
SKU-EGG-01,2025-02-10,150,13500,5,UPI,Mumbai
SKU-TEA-01,2025-02-10,70,14700,7,UPI,Mumbai
SKU-CFE-01,2025-02-11,50,16000,9,Card,Mumbai
SKU-CKI-01,2025-02-11,125,11875,6,Cash,Mumbai
SKU-NDL-01,2025-02-12,170,20400,6,UPI,Mumbai
SKU-RCE-01,2025-03-05,42,33558,6,UPI,Bengaluru
SKU-OIL-01,2025-03-05,85,13715,7,Card,Bengaluru
SKU-MLK-01,2025-03-06,275,17050,4,Cash,Bengaluru
SKU-YGT-01,2025-03-06,210,11550,6,UPI,Bengaluru
SKU-APL-01,2025-03-07,150,18000,5,UPI,Bengaluru
SKU-BAN-01,2025-03-07,165,11220,5,Cash,Bengaluru
SKU-CRM-01,2025-03-08,95,17100,8,Card,Bengaluru
SKU-BRD-01,2025-03-08,250,11250,4,UPI,Bengaluru
SKU-TMT-01,2025-03-09,190,9500,6,Cash,Bengaluru
SKU-CHS-01,2025-03-09,115,18975,7,Card,Bengaluru
SKU-EGG-01,2025-03-10,165,14850,5,UPI,Bengaluru
SKU-TEA-01,2025-03-10,80,16800,7,UPI,Bengaluru
SKU-CFE-01,2025-03-11,60,19200,9,Card,Bengaluru
SKU-CKI-01,2025-03-11,140,13300,6,Cash,Bengaluru
SKU-NDL-01,2025-03-12,190,22800,6,UPI,Bengaluru
