sku,date,quantity,revenue,discount,payment_method,store_city
SKU-APL-01,2025-01-05,320,800,12,UPI,Hyderabad
SKU-BAN-01,2025-01-05,410,738,18,Card,Hyderabad
SKU-MLK-01,2025-01-06,280,896,10,Cash,Hyderabad
SKU-BRD-01,2025-01-07,240,696,8,UPI,Hyderabad
SKU-RCE-01,2025-01-08,110,1650,5,Card,Hyderabad
SKU-OIL-01,2025-01-09,160,1088,6,UPI,Hyderabad
SKU-SNP-01,2025-01-09,300,660,15,Cash,Hyderabad
SKU-BVG-01,2025-01-10,210,819,9,UPI,Hyderabad
SKU-APL-01,2025-02-05,340,850,11,UPI,Bengaluru
SKU-BAN-01,2025-02-05,430,774,16,Card,Bengaluru
SKU-MLK-01,2025-02-06,295,944,8,Cash,Bengaluru
SKU-BRD-01,2025-02-07,260,754,7,UPI,Bengaluru
SKU-RCE-01,2025-02-08,120,1800,4,Card,Bengaluru
SKU-OIL-01,2025-02-09,170,1156,5,UPI,Bengaluru
SKU-SNP-01,2025-02-09,325,715,13,Cash,Bengaluru
SKU-BVG-01,2025-02-10,225,878,8,UPI,Bengaluru
SKU-APL-01,2025-03-05,360,900,10,UPI,Chennai
SKU-BAN-01,2025-03-05,450,810,14,Card,Chennai
SKU-MLK-01,2025-03-06,310,992,7,Cash,Chennai
SKU-BRD-01,2025-03-07,280,812,6,UPI,Chennai
SKU-RCE-01,2025-03-08,132,1980,3,Card,Chennai
SKU-OIL-01,2025-03-09,185,1258,4,UPI,Chennai
SKU-SNP-01,2025-03-09,350,770,12,Cash,Chennai
SKU-BVG-01,2025-03-10,245,956,7,UPI,Chennai
