sku,date,quantity,beginning_stock,units_sold,reorder_point,supplier_lead_time
SKU-APL-01,2025-03-10,95,160,65,80,2
SKU-BAN-01,2025-03-10,88,170,82,85,2
SKU-MLK-01,2025-03-10,72,130,58,70,1
SKU-BRD-01,2025-03-10,60,115,55,65,1
SKU-RCE-01,2025-03-10,48,90,42,35,6
SKU-OIL-01,2025-03-10,52,95,43,40,5
SKU-SNP-01,2025-03-10,120,190,70,75,4
SKU-BVG-01,2025-03-10,66,125,59,68,3
SKU-APL-01,2025-03-17,82,150,68,80,2
SKU-BAN-01,2025-03-17,74,160,86,85,2
SKU-MLK-01,2025-03-17,64,120,56,70,1
SKU-BRD-01,2025-03-17,51,108,57,65,1
SKU-RCE-01,2025-03-17,44,84,40,35,6
SKU-OIL-01,2025-03-17,46,88,42,40,5
SKU-SNP-01,2025-03-17,108,178,70,75,4
SKU-BVG-01,2025-03-17,58,116,58,68,3
