sku,date,quantity,revenue,discount,payment_method,store_city
SKU-TMT-01,2025-01-03,380,798,10,UPI,Mumbai
SKU-POT-01,2025-01-03,420,630,9,Cash,Mumbai
SKU-CHS-01,2025-01-04,180,864,6,Card,Mumbai
SKU-EGG-01,2025-01-04,260,936,7,UPI,Mumbai
SKU-PST-01,2025-01-05,220,594,5,Card,Mumbai
SKU-SAU-01,2025-01-05,205,636,6,UPI,Mumbai
SKU-CKI-01,2025-01-06,310,744,11,Cash,Mumbai
SKU-TEA-01,2025-01-06,140,728,4,Card,Mumbai
SKU-TMT-01,2025-02-03,395,830,9,UPI,Pune
SKU-POT-01,2025-02-03,438,657,8,Cash,Pune
SKU-CHS-01,2025-02-04,195,936,5,Card,Pune
SKU-EGG-01,2025-02-04,272,979,6,UPI,Pune
SKU-PST-01,2025-02-05,235,635,4,Card,Pune
SKU-SAU-01,2025-02-05,220,682,5,UPI,Pune
SKU-CKI-01,2025-02-06,325,780,10,Cash,Pune
SKU-TEA-01,2025-02-06,152,790,3,Card,Pune
