sku,date,quantity,beginning_stock,units_sold,reorder_point,supplier_lead_time
SKU-RCE-01,2025-01-15,120,180,60,90,5
SKU-OIL-01,2025-01-15,95,140,45,70,4
SKU-MLK-01,2025-01-15,80,110,30,60,2
SKU-YGT-01,2025-01-15,65,95,28,55,2
SKU-APL-01,2025-01-15,70,100,35,60,2
SKU-BAN-01,2025-01-15,62,90,32,55,2
SKU-CRM-01,2025-01-15,45,70,25,50,4
SKU-BRD-01,2025-01-15,55,85,30,50,2
SKU-TMT-01,2025-01-15,68,98,34,60,2
SKU-CHS-01,2025-01-15,40,60,22,45,4
SKU-EGG-01,2025-01-15,58,88,28,55,3
SKU-TEA-01,2025-01-15,52,75,20,45,6
SKU-CFE-01,2025-01-15,35,55,18,40,6
SKU-CKI-01,2025-01-15,48,72,24,45,5
SKU-NDL-01,2025-01-15,90,130,40,75,4
SKU-RCE-01,2025-02-15,110,165,55,90,5
SKU-OIL-01,2025-02-15,88,132,44,70,4
SKU-MLK-01,2025-02-15,78,108,30,60,2
SKU-YGT-01,2025-02-15,60,90,30,55,2
SKU-APL-01,2025-02-15,62,92,36,60,2
SKU-BAN-01,2025-02-15,55,85,30,55,2
SKU-CRM-01,2025-02-15,38,65,27,50,4
SKU-BRD-01,2025-02-15,50,80,30,50,2
SKU-TMT-01,2025-02-15,60,90,30,60,2
SKU-CHS-01,2025-02-15,36,56,20,45,4
SKU-EGG-01,2025-02-15,50,80,30,55,3
SKU-TEA-01,2025-02-15,46,70,24,45,6
SKU-CFE-01,2025-02-15,32,52,20,40,6
SKU-CKI-01,2025-02-15,42,68,26,45,5
SKU-NDL-01,2025-02-15,82,120,38,75,4
SKU-RCE-01,2025-03-15,98,150,52,90,5
SKU-OIL-01,2025-03-15,80,125,45,70,4
SKU-MLK-01,2025-03-15,70,105,35,60,2
SKU-YGT-01,2025-03-15,55,85,30,55,2
SKU-APL-01,2025-03-15,58,88,30,60,2
SKU-BAN-01,2025-03-15,50,80,30,55,2
SKU-CRM-01,2025-03-15,32,60,28,50,4
SKU-BRD-01,2025-03-15,45,75,30,50,2
SKU-TMT-01,2025-03-15,52,85,33,60,2
SKU-CHS-01,2025-03-15,30,52,22,45,4
SKU-EGG-01,2025-03-15,45,75,30,55,3
SKU-TEA-01,2025-03-15,40,68,28,45,6
SKU-CFE-01,2025-03-15,28,50,22,40,6
SKU-CKI-01,2025-03-15,38,65,27,45,5
SKU-NDL-01,2025-03-15,75,110,35,75,4
